dataset,building_id,building_type,metric,metric_type,value
bdg-2:rat,Rat_public_Lea,commercial,nmae_15,hour_of_day,0.08764240890741348
bdg-2:rat,Rat_public_Lea,commercial,nmae_16,hour_of_day,0.08262871205806732
bdg-2:rat,Rat_public_Lea,commercial,nmae_17,hour_of_day,0.08111270517110825
bdg-2:rat,Rat_public_Lea,commercial,nmae_18,hour_of_day,0.07922142744064331
bdg-2:rat,Rat_public_Lea,commercial,nmae_19,hour_of_day,0.06514447927474976
bdg-2:rat,Rat_public_Lea,commercial,nmae_20,hour_of_day,0.07288108766078949
bdg-2:rat,Rat_public_Lea,commercial,nmae_21,hour_of_day,0.0671079084277153
bdg-2:rat,Rat_public_Lea,commercial,nmae_22,hour_of_day,0.06651373952627182
bdg-2:rat,Rat_public_Lea,commercial,nmae_23,hour_of_day,0.06414026021957397
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_0,hour_of_day,2.5067152976989746
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_1,hour_of_day,2.4962077140808105
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_2,hour_of_day,2.559866189956665
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_3,hour_of_day,2.424044370651245
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_4,hour_of_day,2.560338020324707
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_5,hour_of_day,2.409078598022461
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_6,hour_of_day,2.5524871349334717
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_7,hour_of_day,2.357412338256836
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_8,hour_of_day,2.5014443397521973
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_9,hour_of_day,2.482221841812134
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_10,hour_of_day,2.5148749351501465
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_11,hour_of_day,2.5245120525360107
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_12,hour_of_day,2.5326385498046875
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_13,hour_of_day,2.541520833969116
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_14,hour_of_day,2.5507454872131348
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_15,hour_of_day,2.4352800846099854
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_16,hour_of_day,2.445901393890381
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_17,hour_of_day,2.446134328842163
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_18,hour_of_day,2.444335699081421
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_19,hour_of_day,2.4445078372955322
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_20,hour_of_day,2.4451446533203125
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_21,hour_of_day,2.4450490474700928
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_22,hour_of_day,2.6029322147369385
bdg-2:rat,Rat_education_Susana,commercial,cvrmse_23,hour_of_day,2.5936784744262695
bdg-2:rat,Rat_education_Susana,commercial,nmbe_0,hour_of_day,-2.4872708320617676
bdg-2:rat,Rat_education_Susana,commercial,nmbe_1,hour_of_day,-2.4769766330718994
bdg-2:rat,Rat_education_Susana,commercial,nmbe_2,hour_of_day,-2.5407280921936035
bdg-2:rat,Rat_education_Susana,commercial,nmbe_3,hour_of_day,-2.40397310256958
bdg-2:rat,Rat_education_Susana,commercial,nmbe_4,hour_of_day,-2.541273355484009
bdg-2:rat,Rat_education_Susana,commercial,nmbe_5,hour_of_day,-2.3888661861419678
bdg-2:rat,Rat_education_Susana,commercial,nmbe_6,hour_of_day,-2.53346848487854
bdg-2:rat,Rat_education_Susana,commercial,nmbe_7,hour_of_day,-2.3287506103515625
bdg-2:rat,Rat_education_Susana,commercial,nmbe_8,hour_of_day,-2.4743101596832275
bdg-2:rat,Rat_education_Susana,commercial,nmbe_9,hour_of_day,-2.4545962810516357
bdg-2:rat,Rat_education_Susana,commercial,nmbe_10,hour_of_day,-2.4861652851104736
bdg-2:rat,Rat_education_Susana,commercial,nmbe_11,hour_of_day,-2.4942996501922607
bdg-2:rat,Rat_education_Susana,commercial,nmbe_12,hour_of_day,-2.50103497505188
bdg-2:rat,Rat_education_Susana,commercial,nmbe_13,hour_of_day,-2.508180618286133
bdg-2:rat,Rat_education_Susana,commercial,nmbe_14,hour_of_day,-2.515326738357544
bdg-2:rat,Rat_education_Susana,commercial,nmbe_15,hour_of_day,-2.414423942565918
bdg-2:rat,Rat_education_Susana,commercial,nmbe_16,hour_of_day,-2.4256532192230225
bdg-2:rat,Rat_education_Susana,commercial,nmbe_17,hour_of_day,-2.425940752029419
bdg-2:rat,Rat_education_Susana,commercial,nmbe_18,hour_of_day,-2.4241347312927246
bdg-2:rat,Rat_education_Susana,commercial,nmbe_19,hour_of_day,-2.4243767261505127
bdg-2:rat,Rat_education_Susana,commercial,nmbe_20,hour_of_day,-2.424985647201538
bdg-2:rat,Rat_education_Susana,commercial,nmbe_21,hour_of_day,-2.424891710281372
bdg-2:rat,Rat_education_Susana,commercial,nmbe_22,hour_of_day,-2.583779811859131
bdg-2:rat,Rat_education_Susana,commercial,nmbe_23,hour_of_day,-2.5737247467041016
bdg-2:rat,Rat_education_Susana,commercial,nmae_0,hour_of_day,2.4872708320617676
bdg-2:rat,Rat_education_Susana,commercial,nmae_1,hour_of_day,2.4769766330718994
